Year,Gebietseinheit,GeoCode,Value
Veränderung aktuelles Jahr (2020) zu 2010,Schaumburg,K03257,110
Veränderung aktuelles Jahr (2020) zu 2010,Statistische Region Hannover,K032,1230
Veränderung aktuelles Jahr (2020) zu 2010,Celle,K03351,202
Veränderung aktuelles Jahr (2020) zu 2010,Cuxhaven,K03352,35
Veränderung aktuelles Jahr (2020) zu 2010,Harburg,K03353,72
Veränderung aktuelles Jahr (2020) zu 2010,Lüchow-Dannenberg,K03354,20
Veränderung aktuelles Jahr (2020) zu 2010,Lüneburg,K03355,81
Veränderung aktuelles Jahr (2020) zu 2010,Osterholz,K03356,47
Veränderung aktuelles Jahr (2020) zu 2010,Rotenburg (Wümme),K03357,23
Veränderung aktuelles Jahr (2020) zu 2010,Heidekreis,K03358,112
Veränderung aktuelles Jahr (2020) zu 2010,Stade,K03359,127
Veränderung aktuelles Jahr (2020) zu 2010,Uelzen,K03360,30
Veränderung aktuelles Jahr (2020) zu 2010,Verden,K03361,60
Veränderung aktuelles Jahr (2020) zu 2010,Statistische Region Lüneburg,K033,809
Veränderung aktuelles Jahr (2020) zu 2010,Delmenhorst  Stadt,K03401,-59
Veränderung aktuelles Jahr (2020) zu 2010,Emden  Stadt,K03402,-2
Veränderung aktuelles Jahr (2020) zu 2010,Oldenburg(Oldb)  Stadt,K03403,69
Veränderung aktuelles Jahr (2020) zu 2010,Osnabrück  Stadt,K03404,174
Veränderung aktuelles Jahr (2020) zu 2010,Wilhelmshaven  Stadt,K03405,18
Veränderung aktuelles Jahr (2020) zu 2010,Ammerland,K03451,48
Veränderung aktuelles Jahr (2020) zu 2010,Aurich,K03452,4
Veränderung aktuelles Jahr (2020) zu 2010,Cloppenburg,K03453,60
Veränderung aktuelles Jahr (2020) zu 2010,Emsland,K03454,85
Veränderung aktuelles Jahr (2020) zu 2010,Friesland,K03455,0
Veränderung aktuelles Jahr (2020) zu 2010,Grafschaft Bentheim,K03456,75
Veränderung aktuelles Jahr (2020) zu 2010,Leer,K03457,22
Veränderung aktuelles Jahr (2020) zu 2010,Oldenburg,K03458,75
Veränderung aktuelles Jahr (2020) zu 2010,Osnabrück,K03459,217
Veränderung aktuelles Jahr (2020) zu 2010,Vechta,K03460,67
