Year,Altersgruppe,Schulabschluss,Migrationsstatus,Units,Value
2010,18 – 25,(Fach-)Hochschulreife,mit Migrationshintergrund,%,25.4328126153069
2010,25 – 35,(Fach-)Hochschulreife,mit Migrationshintergrund,%,31.3401310332713
2010,15 – 65,(Fach-)Hochschulreife,mit Migrationshintergrund,%,25.2586004599427
2006,18 – 25,Ohne Abschluss,mit Migrationshintergrund,%,8.04691377731026
2006,25 – 35,Ohne Abschluss,mit Migrationshintergrund,%,11.6008072462795
2006,15 – 65,Ohne Abschluss,mit Migrationshintergrund,%,12.2423872159555
2006,18 – 25,Hauptschulabschluss,mit Migrationshintergrund,%,30.853960175348
2006,25 – 35,Hauptschulabschluss,mit Migrationshintergrund,%,29.1386247163094
2006,15 – 65,Hauptschulabschluss,mit Migrationshintergrund,%,35.109006773471
2006,18 – 25,Realschulabschluss,mit Migrationshintergrund,%,38.8845655712063
2006,25 – 35,Realschulabschluss,mit Migrationshintergrund,%,31.1446869618161
2006,15 – 65,Realschulabschluss,mit Migrationshintergrund,%,28.4402379173244
2006,18 – 25,(Fach-)Hochschulreife,mit Migrationshintergrund,%,22.2145604761355
2006,25 – 35,(Fach-)Hochschulreife,mit Migrationshintergrund,%,28.115881075595
2006,15 – 65,(Fach-)Hochschulreife,mit Migrationshintergrund,%,24.2083680932491
2005,18 – 25,Ohne Abschluss,mit Migrationshintergrund,%,9.83952716316597
2005,25 – 35,Ohne Abschluss,mit Migrationshintergrund,%,12.616248257356
2005,15 – 65,Ohne Abschluss,mit Migrationshintergrund,%,12.7671882874692
2005,18 – 25,Hauptschulabschluss,mit Migrationshintergrund,%,29.4496250432791
2005,25 – 35,Hauptschulabschluss,mit Migrationshintergrund,%,29.8469574221169
2005,15 – 65,Hauptschulabschluss,mit Migrationshintergrund,%,35.4639042795683
2005,18 – 25,Realschulabschluss,mit Migrationshintergrund,%,37.7107056252857
2005,25 – 35,Realschulabschluss,mit Migrationshintergrund,%,31.468724501456
2005,15 – 65,Realschulabschluss,mit Migrationshintergrund,%,28.7114194862192
2005,18 – 25,(Fach-)Hochschulreife,mit Migrationshintergrund,%,23.0001421682692
2005,25 – 35,(Fach-)Hochschulreife,mit Migrationshintergrund,%,26.0680698190712
2005,15 – 65,(Fach-)Hochschulreife,mit Migrationshintergrund,%,23.0574879467433
2024,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,4.22914962585962
2024,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.6047650722622
2024,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.75990833265475
2024,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,10.3517222575661
2024,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,8.97835157525549
2024,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,17.5395228179566
2024,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,32.963737162592
2024,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,31.6653564733628
2024,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,36.7480776613194
2024,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,52.4584204307916
2024,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,56.750015117615
2024,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,42.9524911880693
2023,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,4.01063404036362
2023,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.56260571496999
2023,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.68498901055383
2023,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,10.9513464067235
2023,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,9.80286496923975
2023,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,18.5179946877272
2023,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,33.9488879995426
2023,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,34.7523463110153
2023,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,37.6814955830064
2023,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,51.0891315533703
2023,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,52.882183004775
2023,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,41.1155207187126
2022,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,2.61281367372489
2022,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.60973433932594
2022,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.32286733846534
2022,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,9.01420717435088
2022,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,9.43193673737847
2022,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,17.7696545997262
2022,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,36.5494529421371
2022,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,35.9450836899164
2022,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,38.0613596067958
2022,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,51.820804528877
2022,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,52.0117332204364
2022,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,41.8461184550127
2021,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,3.20735612052215
2021,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.80563243946338
2021,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.46438337454112
2021,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,9.73427109274514
2021,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,9.37882844049185
2021,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,18.9705394549423
2021,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,35.7844612900577
2021,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,36.0225055583284
2021,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,37.77132328551
2021,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,51.273911496675
2021,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,51.7930335617163
2021,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,40.7937538850066
2019,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,2.36154851270046
2019,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,1.83853985446954
2019,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,1.93463833380332
2019,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,10.2842714419443
2019,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,12.0456953542199
2019,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,21.8937002582936
2019,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,35.8779575345181
2019,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,38.6419935555119
2019,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,38.772982954836
2019,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,51.4762225108371
2019,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,47.4737712357987
2019,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,37.398678453067
2018,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,2.22914674369602
2018,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,1.99286660942186
2018,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,1.91305848966343
2018,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,11.7935694345249
2018,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,13.1807434985902
2018,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,23.3681748457702
2018,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,36.2127959461121
2018,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,39.3246061962801
2018,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,38.7361333723027
2018,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,49.764487875667
2018,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,45.5017821823892
2018,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,35.9826332922637
2017,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,2.33497665643216
2017,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.19058201026269
2017,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,1.99477967477266
2017,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,11.3925590845768
2017,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,12.7382037812541
2017,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,24.6066834984341
2017,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,38.3802350708004
2017,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,39.3986212850021
2017,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,38.1962109034812
2017,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,47.8922291881907
2017,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,45.6725944398756
2017,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,35.202325923312
2016,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,2.86937453968511
2016,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.24801523777964
2016,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.18145181137259
2016,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,12.1838109541446
2016,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,13.709942976141
2016,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,25.7511629685003
2016,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,39.1068602556339
2016,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,38.8797051258562
2016,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,37.8809583102876
2016,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,45.8399542505364
2016,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,45.1623381004997
2016,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,34.1864271655167
2015,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,2.88272323173724
2015,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.64045672643164
2015,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.12166938020212
2015,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,12.0366454414079
2015,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,13.0541779146588
2015,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,25.9767153626498
2015,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,40.2661896118546
2015,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,38.8096188615495
2015,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,38.0552554373444
2015,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,44.81443929373
2015,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,45.49574649736
2015,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,33.8463598198036
2014,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,3.49421961504331
2014,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.41518450864186
2014,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.28948318647338
2014,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,13.0654190335031
2014,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,14.1293175061867
2014,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,27.4288462161987
2014,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,40.9421673613119
2014,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,40.4708566546779
2014,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,37.718834126586
2014,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,42.4981939901418
2014,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,42.9846413304936
2014,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,32.5628367261845
2013,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,3.85811345968942
2013,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.63620579760915
2013,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.23266602156267
2013,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,13.8828570659155
2013,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,14.4522520449017
2013,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,28.6424937909535
2013,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,40.4150868709669
2013,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,40.6938646589115
2013,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,36.8747697963238
2013,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,41.8439449802671
2013,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,42.217676005589
2013,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,32.2500706470325
2012,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,4.4659382405957
2012,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.15208114288503
2012,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.23957248230154
2012,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,14.8325802443114
2012,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,14.9870980733261
2012,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,29.9321055740499
2012,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,42.5163208818286
2012,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,41.552107480163
2012,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,36.8752601550146
2012,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,38.185158300335
2012,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,41.3087148079254
2012,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,30.9530617886341
2011,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,4.21247337753593
2011,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.09626079863827
2011,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.25603488363145
2011,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,15.8074398245418
2011,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,16.3548917692901
2011,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,31.2918861219488
2011,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,42.9356903788874
2011,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,41.6239860727287
2011,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,36.2457428759724
2011,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,37.0443964190348
2011,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,39.924861359343
2011,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,30.2063361184474
2010,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,4.01300454707768
2010,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.02953875623098
2010,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.43403135264804
2010,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,16.5667392028655
2010,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,17.4419752329106
2010,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,32.395993772894
2010,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,45.4421916618094
2010,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,40.6559846443521
2010,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,36.1530808164678
2010,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,33.9780645882474
2010,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,39.8725013665064
2010,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,29.0168940579902
2006,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,3.20747049280786
2006,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.05782613605823
2006,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,2.02890286217007
2006,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,18.5984000986038
2006,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,20.5211648441393
2006,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,37.0324609727205
2006,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,46.887747105336
2006,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,42.1109647659073
2006,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,35.0670591119203
2006,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,31.3063823032524
2006,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,35.3100442538952
2006,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,25.8715770531891
2005,18 – 25,Ohne Abschluss,ohne Migrationshintergrund,%,3.28717630226263
2005,25 – 35,Ohne Abschluss,ohne Migrationshintergrund,%,2.0206492308206
2005,15 – 65,Ohne Abschluss,ohne Migrationshintergrund,%,1.8955267408438
2005,18 – 25,Hauptschulabschluss,ohne Migrationshintergrund,%,19.9227489398554
2005,25 – 35,Hauptschulabschluss,ohne Migrationshintergrund,%,20.9004043287381
2005,15 – 65,Hauptschulabschluss,ohne Migrationshintergrund,%,37.9135806797758
2005,18 – 25,Realschulabschluss,ohne Migrationshintergrund,%,44.4551438810361
2005,25 – 35,Realschulabschluss,ohne Migrationshintergrund,%,40.4848107677562
2005,15 – 65,Realschulabschluss,ohne Migrationshintergrund,%,34.2487907461271
2005,18 – 25,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,32.3349308768458
2005,25 – 35,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,36.5941356726851
2005,15 – 65,(Fach-)Hochschulreife,ohne Migrationshintergrund,%,25.9421018332533
