Year,Höchster beruflicher Abschluss,Migrationshintergrund,Geschlecht,Units,Value
2025,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,27.781809385583
2024,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,16.8997566481954
2024,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.3432726419796
2024,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,26.756970709825
2023,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,17.9906745054881
2023,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.5901126589244
2023,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,25.4221089518955
2022,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,20.1455233813482
2022,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,55.6212842734183
2022,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,24.2331923452335
2021,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,19.2500590040123
2021,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,57.213240500354
2021,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,23.5367004956337
2019,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,14.58
2019,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,55.02
2019,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,30.4
2018,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,15.91
2018,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.34
2018,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,27.75
2017,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,16.23
2017,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.45
2017,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,27.32
2016,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,17.64
2016,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.62
2016,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,25.74
2015,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,15.87
2015,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.3
2015,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,27.82
2014,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,15.81
2014,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,58.63
2014,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,25.55
2013,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,16.4
2013,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,58.93
2013,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,24.67
2012,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,15.78
2012,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,59.0
2012,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,25.22
2011,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,15.94
2011,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,61.29
2011,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,22.76
2005,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,16.6292894947499
2005,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,63.504708417192
2005,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,19.8660020880582
2025,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,10.8341384863124
2025,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,54.7342995169082
2025,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,34.4315619967794
2024,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,14.7630751999004
2024,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,51.0780622880433
2024,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,34.1588625120563
2023,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,17.0901335311573
2023,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,50.7387487636004
2023,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,32.1680267062315
2022,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,17.8850772926033
2022,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,52.5558908665394
2022,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,29.5590318408573
2021,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,15.9126027566599
2021,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,55.9212559490698
2021,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,28.1661412942704
2019,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,13.44
2019,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,49.09
2019,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,37.47
2018,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,13.54
2018,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,50.72
2018,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,35.74
2017,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,14.64
2017,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,50.49
2017,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,34.87
2016,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,14.54
2016,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,53.41
2016,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,32.06
2015,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,13.22
2015,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,52.48
2015,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,34.3
2014,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,14.14
2014,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,55.36
2014,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,30.5
2013,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,15.04
2013,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,58.85
2013,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,26.11
2012,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,13.67
2012,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,58.82
2012,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,27.51
2011,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,13.71
2011,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,60.21
2011,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,26.08
2005,Ohne Abschluss1),ohne Migrationshintergrund,Frauen,%,18.6403409415612
2005,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,64.3296209742111
2005,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,17.0300380842277
