Year,Höchster beruflicher Abschluss,Migrationshintergrund,Geschlecht,Units,Value
2021,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,22.5176832393644
2019,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,23.17
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,48.72
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,28.11
2018,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,23.59
2018,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,50.1
2018,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,26.32
2017,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,23.47
2017,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,50.81
2017,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,25.72
2016,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,23.92
2016,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,51.29
2016,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,24.79
2015,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.13
2015,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,53.84
2015,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,26.03
2014,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.1
2014,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,55.86
2014,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,24.05
2013,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.03
2013,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,56.53
2013,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.43
2012,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.06
2012,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,56.79
2012,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.15
2011,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,20.45
2011,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,58.22
2011,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,21.33
2005,Ohne Abschluss1),mit und ohne Migrationshintergrund,Männer,%,22.719256399342
2005,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,59.5185574678739
2005,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,17.7621861327841
2025,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,18.2598336605705
2025,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,48.3928610823093
2025,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,33.3473052571202
2024,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,22.3663826491092
2024,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,45.3373784318788
2024,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,32.296238919012
2023,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,24.8674709308667
2023,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,44.3705141909727
2023,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,30.7620148781605
2022,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,25.1393838686403
2022,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,46.2885628703238
2022,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,28.5720532610359
2021,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,22.6229288553437
2021,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,50.1116520030369
2021,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,27.2654191416194
2019,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,19.91
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,44.77
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,35.31
2018,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,19.86
2018,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,46.61
2018,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,33.52
2017,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,19.99
2017,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,47.38
2017,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,32.63
2016,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,20.15
2016,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,49.65
2016,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,30.2
2015,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,18.51
2015,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,49.21
2015,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,32.28
2014,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,18.94
2014,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,51.96
2014,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,29.1
2013,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,19.86
2013,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,55.05
2013,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,25.09
2012,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,19.8
2012,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,54.6
2012,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,25.6
2011,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,18.73
2011,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,56.97
2011,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,24.3
2005,Ohne Abschluss1),mit und ohne Migrationshintergrund,Frauen,%,25.605238235645
2005,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,58.3039934476581
2005,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,16.0907683166969
2025,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,40.0816670447548
2025,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,33.577470266066
2025,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,26.3376219334349
2024,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,44.5073202829413
2024,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,31.5084717881231
2024,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,23.9842079289357
2023,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,46.3927610662754
2023,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,29.4483457359466
2023,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,24.1623868916606
2022,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,45.2615992102665
2022,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,30.5774925962488
2022,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,24.1609081934847
2021,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,43.8962751346006
2021,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,33.7618576713182
2021,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,22.3418671940812
2019,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,39.78
2019,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,34.21
2019,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,26.02
2018,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,38.44
2018,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,36.17
2018,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,25.4
2017,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,36.37
2017,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,39.16
2017,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,24.48
2016,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,38.9
2016,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,37.78
2016,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,23.32
2015,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,35.28
2015,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,41.94
2015,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,22.79
2014,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,34.82
2014,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,43.53
2014,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,21.65
2013,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,33.85
2013,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,45.58
2013,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,20.57
2012,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,37.55
2012,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,44.77
2012,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,17.68
2011,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,36.04
2011,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,46.69
2011,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,17.27
2005,Ohne Abschluss1),mit Migrationshintergrund,Insgesamt,%,46.8547833338137
2005,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,41.5251248491722
2005,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,11.6200918170141
2025,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,44.9719490860831
2025,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,32.6959039633227
2025,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,22.3321469505942
2024,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,49.0535491905355
2024,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,30.653798256538
2024,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,20.2926525529265
2023,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,48.9495243128964
2023,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,29.7700845665962
2023,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,21.2869978858351
2022,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,47.3346136017482
2022,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,30.2562744189127
2022,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,22.4091119793391
2021,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,47.0663351031655
2021,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,32.7441360306472
2021,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,20.1962497479669
2019,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,42.48
2019,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,34.56
2019,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,22.97
2018,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,41.18
2018,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,35.78
2018,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,23.04
2017,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,39.1
2017,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,38.63
2017,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,22.26
2016,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,40.37
2016,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,37.34
2016,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,22.3
2015,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,34.89
2015,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,45.3
2015,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,19.82
2014,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,34.54
2014,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,46.49
2014,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,18.97
2013,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,32.41
2013,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,48.37
2013,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,19.22
2012,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,35.11
2012,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,49.01
2012,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,15.88
2011,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,35.87
2011,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,47.69
2011,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,16.44
2005,Ohne Abschluss1),mit Migrationshintergrund,Männer,%,44.0526146489995
2005,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,45.5549345516048
2005,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,10.3924507993957
2025,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,34.4047619047619
2025,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,34.6008403361344
2025,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,30.9873949579832
2024,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,39.4140216253924
2024,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,32.4659923264737
2024,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,28.1199860481339
2023,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,43.5233928968636
2023,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,29.087269222214
2023,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,27.3893378809224
2022,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,42.9013043806077
