Year,Gebietseinheit,Units,GeoCode,Value
2022 / 2017,"Wilhelmshaven, Stadt",%,K03405,-0.297447455317365
2022 / 2017,Ammerland,%,K03451,3.95211425144071
2022 / 2017,Aurich,%,K03452,1.11766842678824
2022 / 2017,Cloppenburg,%,K03453,5.82164656840852
2022 / 2017,Emsland,%,K03454,4.45438702740115
2022 / 2017,Friesland,%,K03455,1.79475986965658
2022 / 2017,Grafschaft Bentheim,%,K03456,3.98206964573565
2022 / 2017,Leer,%,K03457,3.19747138138814
2022 / 2017,Oldenburg,%,K03458,3.07025645762138
2022 / 2017,Osnabrück,%,K03459,2.83062840456
2022 / 2017,Vechta,%,K03460,4.54247900953465
2022 / 2017,Wesermarsch,%,K03461,0.613331536024803
2022 / 2017,Wittmund,%,K03462,2.86968324196647
2022 / 2017,Statistische Region Weser-Ems,%,K034,3.00839632864778
2022 / 2017,Niedersachsen,%,K030,2.22870795671107
2022 / 2021,"Braunschweig, Stadt",%,K03101,1.19804037408117
2022 / 2021,"Salzgitter, Stadt",%,K03102,0.82357706328235
2022 / 2021,"Wolfsburg, Stadt",%,K03103,1.62324827146649
2022 / 2021,Gifhorn,%,K03151,1.30002978883649
2022 / 2021,Goslar,%,K03153,0.464005967922417
2022 / 2021,Helmstedt,%,K03154,1.19392858315368
2022 / 2021,Northeim,%,K03155,1.13307782795128
2022 / 2021,Peine,%,K03157,1.43910630841122
2022 / 2021,Wolfenbüttel,%,K03158,1.09625578742535
2022 / 2021,Göttingen,%,K03159,1.4821062778648
2022 / 2021,Statistische Region Braunschweig,%,K031,1.22161033137618
2022 / 2021,Region Hannover,%,K03241,1.41247696625865
2022 / 2021,"dav. Hannover, Lhst.",%,K03241001,1.70040228984274
2022 / 2021,"dav. Hannover, Umland",%,K03241999,1.16423668254482
2022 / 2021,Diepholz,%,K03251,1.81731775414803
2022 / 2021,Hameln-Pyrmont,%,K03252,1.12578291253533
2022 / 2021,Hildesheim,%,K03254,1.30944452329741
2022 / 2021,Holzminden,%,K03255,1.50153159085053
2022 / 2021,Nienburg (Weser),%,K03256,1.39275537270167
2022 / 2021,Schaumburg,%,K03257,1.17135122827434
2022 / 2021,Statistische Region Hannover,%,K032,1.40469677313722
2022 / 2021,Celle,%,K03351,1.15554567434622
2022 / 2021,Cuxhaven,%,K03352,0.906799997996022
2022 / 2021,Harburg,%,K03353,1.685899327504
2022 / 2021,Lüchow-Dannenberg,%,K03354,1.45651097540848
2022 / 2021,Lüneburg,%,K03355,1.30881709510666
2022 / 2021,Osterholz,%,K03356,1.30112816590471
2022 / 2021,Rotenburg (Wümme),%,K03357,1.57756619656851
2022 / 2021,Heidekreis,%,K03358,1.73673309449172
2022 / 2021,Stade,%,K03359,1.84507205950721
2022 / 2021,Uelzen,%,K03360,1.58029582104334
2022 / 2021,Verden,%,K03361,1.73709632004159
2022 / 2021,Statistische Region Lüneburg,%,K033,1.47996195274586
2022 / 2021,"Delmenhorst, Stadt",%,K03401,1.1132323727458
2022 / 2021,"Emden, Stadt",%,K03402,2.04349494174424
2022 / 2021,"Oldenburg (Oldb), Stadt",%,K03403,1.4326042174084
2022 / 2021,"Osnabrück, Stadt",%,K03404,1.41304216100925
2022 / 2021,"Wilhelmshaven, Stadt",%,K03405,1.41549042344756
2022 / 2021,Ammerland,%,K03451,1.40581142518284
2022 / 2021,Aurich,%,K03452,0.864907443875542
2022 / 2021,Cloppenburg,%,K03453,2.13875158064145
2022 / 2021,Emsland,%,K03454,2.0081654330003
2022 / 2021,Friesland,%,K03455,1.31957846237787
2022 / 2021,Grafschaft Bentheim,%,K03456,1.83604619310564
2022 / 2021,Leer,%,K03457,1.11761328376474
2022 / 2021,Oldenburg,%,K03458,1.37935211331582
2022 / 2021,Osnabrück,%,K03459,1.29193749135666
2022 / 2021,Vechta,%,K03460,1.46334726010842
2022 / 2021,Wesermarsch,%,K03461,1.28689358814882
2022 / 2021,Wittmund,%,K03462,1.57340527369245
2022 / 2021,Statistische Region Weser-Ems,%,K034,1.4855824700877
2022 / 2021,Niedersachsen,%,K030,1.4103720292098
