Indicator,Disaggregation combinations using this value
#1-1-1,2
#1-1-2,1
#1-1-3,1
#1-2-1,1
#1-2-2,1
#1-2-3,36
#1-2-4,10
#1-2-6,8
#1-2-7,3
#1-2-8,2
#1-3-1,5
#1-3-2,12
#1-4-5,15
#2-1-1,18
#2-1-2,12
#2-1-3,12
#2-1-4,30
#2-1-5,24
#2-2-1,1
#2-3-1,1
#2-3-2,1
#2-3-3,2
#3-1-1,6
#3-1-2,2
#3-1-3,4
#4-1-1,28
#4-1-4,4
#4-1-6,400
#5-2-1,3
#5-2-2,4
#6-1-1,5
#6-2-1,6
#6-2-2,6
#7-2-2,18
