Value,Disaggregation combinations using this value,Number of indicators
1000 - 1250,31,1
1250 - 1500,30,1
1500 - 2000,33,1
2000 - 2500,34,1
2500 - 3000,30,1
3000 - 3500,36,1
3500 - 4000,38,1
4000 - 5000,32,1
500 - 1000,33,1
5000 und mehr,32,1
Insgesamt,29,1
unter 500,29,1
