Value,Disaggregation combinations using this value,Number of indicators
Anzahl,102,1
Berufl.,2,1
Berufseinstiegsklasse2),38,1
Berufseinstiegsschule3),38,1
Berufsfachschule,38,1
Berufsoberschule,38,1
Berufsschule (Teilzeit),38,1
Berufsvorbereitungsjahr2),38,1
Fachoberschule,38,1
Fachschule,38,1
Insgesamt,38,1
Prozent,81,1
