Value,Disaggregation combinations using this value,Number of indicators
1000 - 1250,28,1
1250 - 1500,28,1
1500 - 2000,28,1
2000 - 2500,28,1
2500 - 3000,28,1
3000 - 3500,28,1
3500 - 4000,28,1
4000 - 5000,28,1
500 - 1000,28,1
5000 und mehr,28,1
Insgesamt,28,1
unter 500,28,1
