Value,Disaggregation combinations using this value,Number of indicators
"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",18,1
Außerhalb der Studienbereichsgliederung,9,1
Fächerguppen zusammen,18,1
Geisteswissenschaften,18,1
"Humanmedizin, Gesundheitswissenschaften",18,1
Ingenieurwissenschaften,18,1
"Kunst, Kunstwissenschaften",18,1
"Mathematik, Naturwissenschaften",18,1
"Rechts-, Wirtschafts-, Sozialwissenschaften",18,1
Sport,18,1
