Indicator,Disaggregation combinations using this value
#4-2-1,9
#4-2-2,3
#4-3-2,63
#4-4-1,20
#5-1-1,12
#5-1-2,15
#5-2-1,104
#5-3-1,18
#5-3-2,3
#5-3-3,1
