Value,Disaggregation combinations using this value,Number of indicators
0 Jahre,52,1
0,52,1
1 - 3 Jahre,52,1
1 - 3,52,1
10 u.m.,52,1
10 u. mehr Jahre,52,1
4 - 5 Jahre,52,1
4 - 5,52,1
6 - 7 Jahre,52,1
6 - 7,52,1
8 - 9 Jahre,52,1
8 - 9,52,1
