Value,Disaggregation combinations using this value,Number of indicators
Agrar- Forst- Ernährungswissenschaften Veterinärmedizin,18,1
Außerhalb der Studienbereichsgliederung,9,1
Fächergruppen zusammen,18,1
Geisteswissenschaften,18,1
Humanmedizin und Gesundheitswissenschaften,18,1
Ingenieurwissenschaften,18,1
Kunst und Kunstwissenschaften,18,1
Mathematik und Natruwissenschaften,18,1
Rechts- Wirtschafts-und  Sozialwissenschaften,18,1
Sport,18,1
