Value,Disaggregation combinations using this value,Number of indicators
Berufl. Gymnasium,28,1
Berufseinstiegsklasse,28,1
Berufsfachschule,28,1
Berufsgrundbildungsjahr schulisch,28,1
Berufsoberschule,28,1
Berufsschule (Teilzeit),28,1
Berufsvorbereitungsjahr,28,1
Fachoberschule,28,1
Fachschule,28,1
Insgesamt,29,1
