Value,Disaggregation combinations using this value,Number of indicators
Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),3,1
Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,3,1
