Value,Disaggregation combinations using this value,Number of indicators
Förderschule,20,1
Gymnasium,20,1
Hauptschule,20,1
Insgesamt,20,1
Integrierte Gesamtschule,20,1
Oberschule,20,1
Realschule,20,1
