Year,AGS,Gebietseinheit,Units,GeoCode,Value
2025 / 2020,361,Verden,%,K03361,0.960210504891919
2025 / 2020,3,Statistische Region Lüneburg,%,K033,-0.0727442039763702
2025 / 2020,401,"Delmenhorst, Stadt",%,K03401,4.86561810510561
2025 / 2020,402,"Emden, Stadt",%,K03402,-1.73437061394715
2025 / 2020,403,"Oldenburg (Oldb), Stadt",%,K03403,4.3925591816279
2025 / 2020,404,"Osnabrück, Stadt",%,K03404,1.23855976324876
2025 / 2020,405,"Wilhelmshaven, Stadt",%,K03405,0.179547540198698
2025 / 2020,451,Ammerland,%,K03451,1.5830567560469
2025 / 2020,452,Aurich,%,K03452,-0.90862244844304
2025 / 2020,453,Cloppenburg,%,K03453,3.022035312109
2025 / 2020,454,Emsland,%,K03454,1.66387985285623
2025 / 2020,455,Friesland,%,K03455,1.30341211061827
2025 / 2020,456,Grafschaft Bentheim,%,K03456,4.91910276957887
2025 / 2020,457,Leer,%,K03457,-1.38322749193797
2025 / 2020,458,Oldenburg,%,K03458,0.539298835449202
2025 / 2020,459,Osnabrück,%,K03459,-1.48579440344284
2025 / 2020,460,Vechta,%,K03460,2.18513827610684
2025 / 2020,461,Wesermarsch,%,K03461,0.370520988658441
2025 / 2020,462,Wittmund,%,K03462,-2.67496166178726
2025 / 2020,4,Statistische Region Weser-Ems,%,K034,1.0413479395249
2025 / 2020,0,Niedersachsen,%,K030,-0.0324236348431555
2025 / 2024,101,"Braunschweig, Stadt",%,K03101,-0.0596927601774127
2025 / 2024,102,"Salzgitter, Stadt",%,K03102,-0.51157473563876
2025 / 2024,103,"Wolfsburg, Stadt",%,K03103,0.1952763198518
2025 / 2024,151,Gifhorn,%,K03151,-0.24155550377111
2025 / 2024,153,Goslar,%,K03153,-0.546637744034712
2025 / 2024,154,Helmstedt,%,K03154,-0.505391955844701
2025 / 2024,155,Northeim,%,K03155,-0.741106326070863
2025 / 2024,157,Peine,%,K03157,0.0758874822138722
2025 / 2024,158,Wolfenbüttel,%,K03158,-0.377039479245923
2025 / 2024,159,Göttingen,%,K03159,0.888643652371144
2025 / 2024,1,Statistische Region Braunschweig,%,K031,-0.0230901402584465
2025 / 2024,241,Region Hannover,%,K03241,0.0210362454509152
2025 / 2024,241001,"dav. Hannover, Lhst.",%,K03241001,0.128703333071584
2025 / 2024,241999,"dav. Hannover, Umland",%,K03241999,-0.069817391964861
2025 / 2024,251,Diepholz,%,K03251,0.0822777370909904
2025 / 2024,252,Hameln-Pyrmont,%,K03252,-0.286279235434705
2025 / 2024,254,Hildesheim,%,K03254,-0.33382428805335
2025 / 2024,255,Holzminden,%,K03255,-0.472697885058167
2025 / 2024,256,Nienburg (Weser),%,K03256,-0.254387986959529
2025 / 2024,257,Schaumburg,%,K03257,-0.487117526667134
2025 / 2024,2,Statistische Region Hannover,%,K032,-0.107548704165254
2025 / 2024,351,Celle,%,K03351,-0.208757371744696
2025 / 2024,352,Cuxhaven,%,K03352,0.022128121825375
2025 / 2024,353,Harburg,%,K03353,-0.051530105617914
2025 / 2024,354,Lüchow-Dannenberg,%,K03354,-0.06666379940647
2025 / 2024,355,Lüneburg,%,K03355,-0.146560563505858
2025 / 2024,356,Osterholz,%,K03356,-0.22711667458934
2025 / 2024,357,Rotenburg (Wümme),%,K03357,-0.0307406693027303
2025 / 2024,358,Heidekreis,%,K03358,0.10755655564283
2025 / 2024,359,Stade,%,K03359,0.113143957631195
2025 / 2024,360,Uelzen,%,K03360,-0.295728846111871
2025 / 2024,361,Verden,%,K03361,0.194047292715652
2025 / 2024,3,Statistische Region Lüneburg,%,K033,-0.0389687622684818
2025 / 2024,401,"Delmenhorst, Stadt",%,K03401,-0.162150210058229
2025 / 2024,402,"Emden, Stadt",%,K03402,-0.392260477216368
2025 / 2024,403,"Oldenburg (Oldb), Stadt",%,K03403,0.249697079506717
2025 / 2024,404,"Osnabrück, Stadt",%,K03404,0.120440571610956
2025 / 2024,405,"Wilhelmshaven, Stadt",%,K03405,-0.555812264835964
2025 / 2024,451,Ammerland,%,K03451,-0.0931499557733417
2025 / 2024,452,Aurich,%,K03452,-0.193839505126689
2025 / 2024,453,Cloppenburg,%,K03453,0.465470978675327
2025 / 2024,454,Emsland,%,K03454,-0.040652958250007
2025 / 2024,455,Friesland,%,K03455,-0.14938602344364
2025 / 2024,456,Grafschaft Bentheim,%,K03456,0.0906304698255838
2025 / 2024,457,Leer,%,K03457,0.00473084451488148
2025 / 2024,458,Oldenburg,%,K03458,0.127265014241559
2025 / 2024,459,Osnabrück,%,K03459,-0.194746083236339
2025 / 2024,460,Vechta,%,K03460,0.204041244992794
2025 / 2024,461,Wesermarsch,%,K03461,-0.0944499415309821
2025 / 2024,462,Wittmund,%,K03462,-0.214404402437069
2025 / 2024,4,Statistische Region Weser-Ems,%,K034,-0.0132711418825124
2025 / 2024,0,Niedersachsen,%,K030,-0.0457618218976847
