Year,Wanderungsziel,Value
2005,Europa insgesamt,70137
2005,Bulgarien,406
2005,Griechenland,630
2005,Italien,1035
2005,Kroatien,267
2005,Litauen,762
2005,Moldau   Republik,181
2005,Niederlande,2885
2005,Polen,25817
2005,Rumänien,848
2005,Russische Föderation,23172
2005,Serbien (ab 2008),x
2005,Spanien,1142
2005,Türkei,2043
2005,Ukraine,1955
2005,Ungarn,1696
2005,Vereinigtes Königreich,944
2005,EU Staaten,40579
2005,Afrika insgesamt,1906
2005,Amerika insgesamt,3380
2005,Asien insgesamt,18075
2005,Irak,200
2005,Kasachstan,11435
2005,Syrien   Arabische Republik,239
2005,Australien und Ozeanien,272
2005,Sonstige Ziele,2123
2005,ohne Angabe,28
2005,Insgesamt,95893
2006,Europa insgesamt,54445
2006,Bulgarien,373
2006,Griechenland,649
2006,Italien,1002
2006,Kroatien,399
2006,Litauen,751
2006,Moldau   Republik,76
2006,Niederlande,3186
2006,Polen,27269
2006,Rumänien,997
2006,Russische Föderation,7036
2006,Serbien (ab 2008),x
2006,Spanien,1230
2006,Türkei,1740
2006,Ukraine,780
2006,Ungarn,2075
2006,Vereinigtes Königreich,978
2006,EU Staaten,42960
2006,Afrika insgesamt,1727
2006,Amerika insgesamt,3625
2006,Asien insgesamt,7027
2006,Irak,239
2006,Kasachstan,1874
2006,Syrien   Arabische Republik,185
2006,Australien und Ozeanien,306
2006,Sonstige Ziele,2356
2006,ohne Angabe,19
2006,Insgesamt,69486
2007,Europa insgesamt,55712
2007,Bulgarien,1145
2007,Griechenland,584
2007,Italien,944
2007,Kroatien,376
2007,Litauen,639
2007,Moldau   Republik,62
2007,Niederlande,3244
2007,Polen,27559
2007,Rumänien,2956
2007,Russische Föderation,5131
2007,Serbien (ab 2008),x
2007,Spanien,1306
2007,Türkei,1686
2007,Ukraine,740
2007,Ungarn,2527
2007,Vereinigtes Königreich,951
2007,EU Staaten,46319
2007,Afrika insgesamt,1771
2007,Amerika insgesamt,3802
2007,Asien insgesamt,6787
2007,Irak,383
2007,Kasachstan,1488
2007,Syrien   Arabische Republik,176
2007,Australien und Ozeanien,336
2007,Sonstige Ziele,2346
2007,ohne Angabe,15
2007,Insgesamt,70754
2008,Europa insgesamt,53002
2008,Bulgarien,2099
2008,Griechenland,604
2008,Italien,1117
2008,Kroatien,237
2008,Litauen,575
2008,Moldau   Republik,67
2008,Niederlande,3144
2008,Polen,23436
2008,Rumänien,4045
2008,Russische Föderation,3925
2008,Serbien (ab 2008),241
2008,Spanien,1346
2008,Türkei,1605
2008,Ukraine,704
2008,Ungarn,2857
2008,Vereinigtes Königreich,1105
2008,EU Staaten,44666
2008,Afrika insgesamt,1686
2008,Amerika insgesamt,4193
2008,Asien insgesamt,7136
2008,Irak,556
2008,Kasachstan,1238
2008,Syrien   Arabische Republik,231
2008,Australien und Ozeanien,374
2008,Sonstige Ziele,2673
2008,ohne Angabe,15
2008,Insgesamt,69064
2009,Europa insgesamt,54452
2009,Bulgarien,2340
2009,Griechenland,600
2009,Italien,1206
2009,Kroatien,421
2009,Litauen,621
2009,Moldau   Republik,70
2009,Niederlande,2314
2009,Polen,23094
2009,Rumänien,6198
2009,Russische Föderation,3284
2009,Serbien (ab 2008),384
2009,Spanien,1470
2009,Türkei,1636
2009,Ukraine,681
2009,Ungarn,2688
2009,Vereinigtes Königreich,1187
2009,EU Staaten,46797
2009,Afrika insgesamt,1732
2009,Amerika insgesamt,4205
2009,Asien insgesamt,9945
2009,Irak,2830
2009,Kasachstan,1023
2009,Syrien   Arabische Republik,333
2009,Australien und Ozeanien,398
2009,Sonstige Ziele,3193
2009,ohne Angabe,51
2009,Insgesamt,73925
2010,Europa insgesamt,58101
2010,Bulgarien,3287
2010,Griechenland,757
2010,Italien,1613
2010,Kroatien,297
2010,Litauen,683
2010,Moldau   Republik,85
2010,Niederlande,2012
2010,Polen,22942
2010,Rumänien,8083
2010,Russische Föderation,2812
2010,Serbien (ab 2008),1225
2010,Spanien,1601
2010,Türkei,1611
2010,Ukraine,613
2010,Ungarn,2437
2010,Vereinigtes Königreich,1072
2010,EU Staaten,49675
2010,Afrika insgesamt,1857
2010,Amerika insgesamt,4089
2010,Asien insgesamt,9405
2010,Irak,1408
2010,Kasachstan,656
2010,Syrien   Arabische Republik,431
2010,Australien und Ozeanien,427
2010,Sonstige Ziele,2904
2010,ohne Angabe,68
2010,Insgesamt,76783
2011,Europa insgesamt,71848
2011,Bulgarien,3820
2011,Griechenland,1421
2011,Italien,1636
2011,Kroatien,431
2011,Litauen,1359
2011,Moldau   Republik,77
2011,Niederlande,2074
2011,Polen,28900
2011,Rumänien,11492
2011,Russische Föderation,2605
2011,Serbien (ab 2008),1029
2011,Spanien,1772
2011,Türkei,1768
2011,Ukraine,597
2011,Ungarn,3229
2011,Vereinigtes Königreich,1219
2011,EU Staaten,63559
2011,Afrika insgesamt,2097
2011,Amerika insgesamt,4583
2011,Asien insgesamt,9518
2011,Irak,780
2011,Kasachstan,703
2011,Syrien   Arabische Republik,706
2011,Australien und Ozeanien,536
2011,Sonstige Ziele,2925
2011,ohne Angabe,62
2011,Insgesamt,91507
2012,Europa insgesamt,79539
2012,Bulgarien,4127
2012,Griechenland,1918
2012,Italien,2218
2012,Kroatien,468
2012,Litauen,1391
2012,Moldau   Republik,119
2012,Niederlande,1790
2012,Polen,31256
2012,Rumänien,12321
2012,Russische Föderation,2573
