Migration und Teilhabe in Niedersachsen - Integrationsmonitoring 2021,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value,Value_2
2011,"Verden",Ukraine,Anzahl,K03361,62,62
2011,"Statistische Region Lüneburg",Ukraine,Anzahl,K033,844,844
2011,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,220,220
2011,"Emden, Stadt",Ukraine,Anzahl,K03402,28,28
2011,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,221,221
2011,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,665,665
2011,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,36,36
2011,"Ammerland",Ukraine,Anzahl,K03451,41,41
2011,"Aurich",Ukraine,Anzahl,K03452,35,35
2011,"Cloppenburg",Ukraine,Anzahl,K03453,118,118
2011,"Emsland",Ukraine,Anzahl,K03454,154,154
2011,"Friesland",Ukraine,Anzahl,K03455,37,37
2011,"Grafschaft Bentheim",Ukraine,Anzahl,K03456,59,59
2011,"Leer",Ukraine,Anzahl,K03457,81,81
2011,"Oldenburg",Ukraine,Anzahl,K03458,40,40
2011,"Osnabrück",Ukraine,Anzahl,K03459,264,264
2011,"Vechta",Ukraine,Anzahl,K03460,115,115
2011,"Wesermarsch",Ukraine,Anzahl,K03461,53,53
2011,"Wittmund",Ukraine,Anzahl,K03462,13,13
2011,"Statistische Region Weser-Ems",Ukraine,Anzahl,K034,2180,2180
2011,"Niedersachsen",Ukraine,Anzahl,K030,10136,10136
2012,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,360,360
2012,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,82,82
2012,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,119,119
2012,"Gifhorn",Ukraine,Anzahl,K03151,81,81
2012,"Goslar",Ukraine,Anzahl,K03153,94,94
2012,"Helmstedt",Ukraine,Anzahl,K03154,41,41
2012,"Northeim",Ukraine,Anzahl,K03155,68,68
2012,"Peine",Ukraine,Anzahl,K03157,57,57
