Year,Gebietseinheit,value
31.03.2022,Bundesgebiet,369875
24.04.2022,Bundesgebiet,560498
01.05.2022,Bundesgebiet,610441
08.05.2022,Bundesgebiet,688133
15.05.2022,Bundesgebiet,742254
22.05.2022,Bundesgebiet,780510
31.03.2022,Niedersachsen,34684
24.04.2022,Niedersachsen,54273
01.05.2022,Niedersachsen,58878
08.05.2022,Niedersachsen,65607
15.05.2022,Niedersachsen,69349
22.05.2022,Niedersachsen,72951
