Year,Gebietseinheit,GeoCode,Value
2019/2005,Braunschweig Stadt,K03101,1.685061136
2019/2005,Salzgitter Stadt,K03102,-3.188645267
2019/2005,Wolfsburg Stadt,K03103,2.61718331
2019/2005,Gifhorn,K03151,0.698810026
2019/2005,Goslar,K03153,-10.00977207
2019/2005,Helmstedt,K03154,-6.600579034
2019/2005,Northeim,K03155,-9.820028632
2019/2005,Peine,K03157,0.163470326
2019/2005,Wolfenbüttel,K03158,-5.407243397
2019/2005,Göttingen,K03159,-5.469332135
2019/2005,Statistische Region Braunschweig,K031,-3.363113361
2019/2005,Hannover Region,K03241,2.531759977
2019/2005,Hannover Landeshauptstadt,K03241001,4.109910437
2019/2005,Diepholz,K03251,0.714921966
2019/2005,Hameln-Pyrmont,K03252,-7.063938939
2019/2005,Hildesheim,K03254,-5.101103416
2019/2005,Holzminden,K03255,-9.574167715
2019/2005,Nienburg (Weser),K03256,-3.559227775
2019/2005,Schaumburg,K03257,-4.673314931
2019/2005,Statistische Region Hannover,K032,-0.724657439
2019/2005,Celle,K03351,-1.881673281
2019/2005,Cuxhaven,K03352,-3.525984528
2019/2005,Harburg,K03353,5.21199039
2019/2005,Lüchow-Dannenberg,K03354,-5.72519084
2019/2005,Lüneburg,K03355,4.957792078
2019/2005,Osterholz,K03356,1.05285566
2019/2005,Rotenburg (W�mme),K03357,-0.662926459
2019/2005,Heidekreis,K03358,-1.405262199
2019/2005,Stade,K03359,4.090596768
2019/2005,Uelzen,K03360,-4.694656489
2019/2005,Verden,K03361,2.273947675
2019/2005,Statistische Region Lüneburg,K033,0.722654863
2019/2005,Delmenhorst.Stadt,K03401,2.164234154
2019/2005,Emden Stadt,K03402,-3.443406264
2019/2005,Oldenburg (Oldb) Stadt,K03403,6.629457951
2019/2005,Osnabrück Stadt,K03404,0.877214402
2019/2005,Wilhelmshaven Stadt,K03405,-8.932162007
2019/2005,Ammerland,K03451,7.738305822
2019/2005,Aurich,K03452,-0.228267273
2019/2005,Cloppenburg,K03453,9.663201449
2019/2005,Emsland,K03454,5.439101158
2019/2005,Friesland,K03455,-2.670295429
2019/2005,Grafschaft Bentheim,K03456,2.023177281
2019/2005,Leer,K03457,3.453373401
2019/2005,Oldenburg,K03458,4.10320446
2019/2005,Osnabrück,K03459,-0.380860706
