Year,Altersgruppe,Units,Geschlecht,Value
3 – 6,in 1000,Weiblich,29.1,
6 – 15,in 1000,Weiblich,90.6,
15 – 20,in 1000,Weiblich,45.9,
20 – 40,in 1000,Weiblich,203.1,
40 – 65,in 1000,Weiblich,206.2,
65 – 80,in 1000,Weiblich,48.6,
80 und älter,in 1000,Weiblich,18.1,
Insgesamt,in 1000,Weiblich,666.9,
0 – 3,in 1000,Weiblich,28.1,
3 – 6,in 1000,Weiblich,30.2,
6 – 15,in 1000,Weiblich,94.6,
15 – 20,in 1000,Weiblich,50,
20 – 40,in 1000,Weiblich,210.4,
40 – 65,in 1000,Weiblich,217,
65 – 80,in 1000,Weiblich,54.8,
80 und älter,in 1000,Weiblich,16.1,
Insgesamt,in 1000,Weiblich,701.3,
0 – 3,in 1000,Weiblich,27.3,
3 – 6,in 1000,Weiblich,31.8,
6 – 15,in 1000,Weiblich,92.1,
15 – 20,in 1000,Weiblich,50.1,
20 – 40,in 1000,Weiblich,207.3,
40 – 65,in 1000,Weiblich,217.4,
65 – 80,in 1000,Weiblich,48,
80 und älter,in 1000,Weiblich,15.1,
Insgesamt,in 1000,Weiblich,689,
0 – 3,in 1000,Weiblich,30121.73,
3 – 6,in 1000,Weiblich,27649.73,
6 – 15,in 1000,Weiblich,87064.7,
15 – 20,in 1000,Weiblich,46447.17,
20 – 40,in 1000,Weiblich,200920.61,
40 – 65,in 1000,Weiblich,205498.51,
65 – 80,in 1000,Weiblich,49840.39,
80 und älter,in 1000,Weiblich,12005.53,
Insgesamt,in 1000,Weiblich,659548.39,
0 – 3,in 1000,Insgesamt,83.31298,
3 – 6,in 1000,Insgesamt,75.63413,
6 – 15,in 1000,Insgesamt,227.47427,
15 – 20,in 1000,Insgesamt,117.14478,
20 – 40,in 1000,Insgesamt,549.78643,
40 – 65,in 1000,Insgesamt,533.19138,
65 – 80,in 1000,Insgesamt,132.4735,
80 und älter,in 1000,Insgesamt,31.77423,
Insgesamt,in 1000,Insgesamt,1750.79168,
0 – 3,in 1000,Insgesamt,76.94035,
3 – 6,in 1000,Insgesamt,74.68905,
6 – 15,in 1000,Insgesamt,219.62191,
15 – 20,in 1000,Insgesamt,115.8593,
20 – 40,in 1000,Insgesamt,551.89752,
40 – 65,in 1000,Insgesamt,525.18771,
65 – 80,in 1000,Insgesamt,130.6223,
80 und älter,in 1000,Insgesamt,31.28835,
Insgesamt,in 1000,Insgesamt,1726.1065,
0 – 3,in 1000,Insgesamt,78.43777,
3 – 6,in 1000,Insgesamt,72.03322,
6 – 15,in 1000,Insgesamt,218.40431,
15 – 20,in 1000,Insgesamt,117.991,
20 – 40,in 1000,Insgesamt,513.96477,
40 – 65,in 1000,Insgesamt,498.73961,
65 – 80,in 1000,Insgesamt,122.26094,
80 und älter,in 1000,Insgesamt,34.12329,
Insgesamt,in 1000,Insgesamt,1655.95492,
0 – 3,in 1000,Insgesamt,76.3,
3 – 6,in 1000,Insgesamt,70.9,
6 – 15,in 1000,Insgesamt,202.4,
15 – 20,in 1000,Insgesamt,105.8,
20 – 40,in 1000,Insgesamt,478.6,
40 – 65,in 1000,Insgesamt,473.7,
65 – 80,in 1000,Insgesamt,117.9,
80 und älter,in 1000,Insgesamt,31.6,
Insgesamt,in 1000,Insgesamt,1557.2,
0 – 3,in 1000,Insgesamt,66.6,
3 – 6,in 1000,Insgesamt,64.3,
6 – 15,in 1000,Insgesamt,182.4,
15 – 20,in 1000,Insgesamt,96.4,
20 – 40,in 1000,Insgesamt,412.3,
40 – 65,in 1000,Insgesamt,439.6,
65 – 80,in 1000,Insgesamt,112.1,
80 und älter,in 1000,Insgesamt,26.5,
Insgesamt,in 1000,Insgesamt,1400.2,
0 – 3,in 1000,Insgesamt,63.6,
3 – 6,in 1000,Insgesamt,60.2,
6 – 15,in 1000,Insgesamt,183.1,
15 – 20,in 1000,Insgesamt,94.5,
20 – 40,in 1000,Insgesamt,394.2,
40 – 65,in 1000,Insgesamt,424.2,
65 – 80,in 1000,Insgesamt,108.1,
80 und älter,in 1000,Insgesamt,27.5,
Insgesamt,in 1000,Insgesamt,1355.5,
0 – 3,in 1000,Insgesamt,57.8,
3 – 6,in 1000,Insgesamt,61.8,
6 – 15,in 1000,Insgesamt,182.2,
15 – 20,in 1000,Insgesamt,94.2,
20 – 40,in 1000,Insgesamt,404.9,
40 – 65,in 1000,Insgesamt,416.3,
65 – 80,in 1000,Insgesamt,101.8,
80 und älter,in 1000,Insgesamt,26.7,
Insgesamt,in 1000,Insgesamt,1345.6,
0 – 3,in 1000,Insgesamt,57.2,
3 – 6,in 1000,Insgesamt,62.9,
6 – 15,in 1000,Insgesamt,193.1,
15 – 20,in 1000,Insgesamt,104.1,
20 – 40,in 1000,Insgesamt,423.5,
40 – 65,in 1000,Insgesamt,434.6,
65 – 80,in 1000,Insgesamt,112.2,
80 und älter,in 1000,Insgesamt,25.2,
Insgesamt,in 1000,Insgesamt,1412.9,
0 – 3,in 1000,Insgesamt,58.6,
3 – 6,in 1000,Insgesamt,59.9,
6 – 15,in 1000,Insgesamt,191.5,
15 – 20,in 1000,Insgesamt,103.7,
20 – 40,in 1000,Insgesamt,419.2,
40 – 65,in 1000,Insgesamt,426.8,
65 – 80,in 1000,Insgesamt,102.9,
80 und älter,in 1000,Insgesamt,23.7,
Insgesamt,in 1000,Insgesamt,1386.3,
0 – 3,in 1000,Insgesamt,59765.53,
3 – 6,in 1000,Insgesamt,61813.91,
6 – 15,in 1000,Insgesamt,178355.95,
15 – 20,in 1000,Insgesamt,98795.87,
20 – 40,in 1000,Insgesamt,401856.45,
40 – 65,in 1000,Insgesamt,414568.8,
65 – 80,in 1000,Insgesamt,99185.65,
80 und älter,in 1000,Insgesamt,20486.07,
Insgesamt,in 1000,Insgesamt,1334828.25,
0 – 3,in 1000,Männlich,38.1124178258588,
3 – 6,in 1000,Männlich,34.3820203024958,
6 – 15,in 1000,Männlich,35.271621414663,
15 – 20,in 1000,Männlich,30.9826868613076,
20 – 40,in 1000,Männlich,30.1919486139044,
40 – 65,in 1000,Männlich,19.2532906611662,
65 – 80,in 1000,Männlich,11.1943013396002,
80 und älter,in 1000,Männlich,6.71832729211791,
Insgesamt,in 1000,Männlich,23.1620457421604,
0 – 3,in 1000,Männlich,36.6760488371126,
3 – 6,in 1000,Männlich,36.6669579728589,
6 – 15,in 1000,Männlich,35.1003078794008,
15 – 20,in 1000,Männlich,28.4580094991364,
20 – 40,in 1000,Männlich,30.7189058442526,
40 – 65,in 1000,Männlich,18.7870140748558,
65 – 80,in 1000,Männlich,10.9728404455406,
80 und älter,in 1000,Männlich,6.1906004469003,
Insgesamt,in 1000,Männlich,22.901341234937,
0 – 3,in 1000,Männlich,37.1273831383147,
3 – 6,in 1000,Männlich,35.8552562216531,
6 – 15,in 1000,Männlich,34.0544850264961,
15 – 20,in 1000,Männlich,29.3543607910032,
20 – 40,in 1000,Männlich,28.8069806929414,
40 – 65,in 1000,Männlich,17.6501072092196,
65 – 80,in 1000,Männlich,10.4891611456245,
80 und älter,in 1000,Männlich,8.62028893440649,
Insgesamt,in 1000,Männlich,22.117226951227,
0 – 3,in 1000,Männlich,36.6,
3 – 6,in 1000,Männlich,36.8,
6 – 15,in 1000,Männlich,32.2,
15 – 20,in 1000,Männlich,26.5,
20 – 40,in 1000,Männlich,26.7,
40 – 65,in 1000,Männlich,16.6,
65 – 80,in 1000,Männlich,9.5,
80 und älter,in 1000,Männlich,7.9,
Insgesamt,in 1000,Männlich,20.6,
0 – 3,in 1000,Männlich,53.5675511695842,
3 – 6,in 1000,Männlich,46.7869172217006,
6 – 15,in 1000,Männlich,43.2399511232,
15 – 20,in 1000,Männlich,31.4352742859866,
20 – 40,in 1000,Männlich,29.8092999233983,
40 – 65,in 1000,Männlich,17.8808788018904,
65 – 80,in 1000,Männlich,10.4653803873177,
80 und älter,in 1000,Männlich,6.32291824772147,
Insgesamt,in 1000,Männlich,22.616884594145,
0 – 3,in 1000,Männlich,31.475878967258,
3 – 6,in 1000,Männlich,31.1038203159661,
6 – 15,in 1000,Männlich,28.94056628,
15 – 20,in 1000,Männlich,23.5063372396299,
20 – 40,in 1000,Männlich,22.09327918575,
40 – 65,in 1000,Männlich,14.6479858010703,
65 – 80,in 1000,Männlich,9.33498587891737,
80 und älter,in 1000,Männlich,5.86787795483691,
Insgesamt,in 1000,Männlich,17.8056575776509,
0 – 3,in 1000,Männlich,31.475878967258,
3 – 6,in 1000,Männlich,31.1038203159661,
6 – 15,in 1000,Männlich,28.94056628,
15 – 20,in 1000,Männlich,23.5063372396299,
20 – 40,in 1000,Männlich,22.09327918575,
40 – 65,in 1000,Männlich,14.6479858010703,
65 – 80,in 1000,Männlich,9.33498587891737,
80 und älter,in 1000,Männlich,5.86787795483691,
Insgesamt,in 1000,Männlich,17.8056575776509,
0 – 3,in 1000,Männlich,32.2121485579605,
3 – 6,in 1000,Männlich,31.9455261085817,
6 – 15,in 1000,Männlich,28.0482168056096,
15 – 20,in 1000,Männlich,23.5214993678186,
20 – 40,in 1000,Männlich,23.2411844783242,
40 – 65,in 1000,Männlich,14.7492224780769,
65 – 80,in 1000,Männlich,9.80857119096191,
80 und älter,in 1000,Männlich,6.33488710661976,
Insgesamt,in 1000,Männlich,18.2647749303417,
0 – 3,in 1000,Männlich,33.2828202910582,
3 – 6,in 1000,Männlich,28.7777961027967,
