Year,Series,Land der Staatsangehörigkeit,Geschlecht,Units,GeoCode,Value
2023,Alle Länder,Tonga,ingesamt,Anzahl,W541,
2023,Alle Länder,Samoa,ingesamt,Anzahl,W543,
2023,Alle Länder,Marshallinseln,ingesamt,Anzahl,W544,
2023,Alle Länder,Föderierte Staaten von Mikronesien,ingesamt,Anzahl,W545,
2023,Alle Länder,Übriges Ozeanien,ingesamt,Anzahl,W599,
2023,Alle Länder,Unbekanntes Ausland,ingesamt,Anzahl,W996,
2023,Alle Länder,Ohne Angabe,ingesamt,Anzahl,W999,
2023,Alle Länder,Andorra,männlich,Anzahl,W123,
2023,Alle Länder,Liechtenstein,männlich,Anzahl,W141,
2023,Alle Länder,Monaco,männlich,Anzahl,W147,
2023,Alle Länder,San Marino,männlich,Anzahl,W156,
2023,Alle Länder,Vatikanstadt,männlich,Anzahl,W167,
2023,Alle Länder,Britisch abhängige Gebiete in Europa,männlich,Anzahl,W195,
2023,Alle Länder,Lesotho,männlich,Anzahl,W226,
2023,Alle Länder,Botsuana,männlich,Anzahl,W227,
2023,Alle Länder,Dschibuti,männlich,Anzahl,W230,
2023,Alle Länder,Simbabwe,männlich,Anzahl,W233,
2023,Alle Länder,Gabun,männlich,Anzahl,W236,
2023,Alle Länder,Mauretanien,männlich,Anzahl,W239,
2023,Alle Länder,Kap Verde,männlich,Anzahl,W242,
2023,Alle Länder,Komoren,männlich,Anzahl,W244,
2023,Alle Länder,Kongo,männlich,Anzahl,W245,
2023,Alle Länder,Libysch-Arabische Dschamahirija,männlich,Anzahl,W248,
2023,Alle Länder,Madagaskar,männlich,Anzahl,W249,
2023,Alle Länder,Mali,männlich,Anzahl,W251,
2023,Alle Länder,Mauritius,männlich,Anzahl,W253,
2023,Alle Länder,Mosambik,männlich,Anzahl,W254,
2023,Alle Länder,Niger,männlich,Anzahl,W255,
2023,Alle Länder,Malawi,männlich,Anzahl,W256,
2023,Alle Länder,Sambia,männlich,Anzahl,W257,
2023,Alle Länder,Guinea-Bissau,männlich,Anzahl,W259,
2023,Alle Länder,Guinea,männlich,Anzahl,W261,
2023,Alle Länder,Ruanda,männlich,Anzahl,W265,
2023,Alle Länder,Namibia,männlich,Anzahl,W267,
2023,Alle Länder,Sao Tome und Principe,männlich,Anzahl,W268,
2023,Alle Länder,Seychellen,männlich,Anzahl,W271,
2023,Alle Länder,Äquatorialguinea,männlich,Anzahl,W274,
2023,Alle Länder,Swasiland,männlich,Anzahl,W281,
2023,Alle Länder,"Tansania, Vereinigte Republik",männlich,Anzahl,W282,
2023,Alle Länder,Tschad,männlich,Anzahl,W284,
2023,Alle Länder,Uganda,männlich,Anzahl,W286,
2023,Alle Länder,Zentralafrikanische Republik,männlich,Anzahl,W289,
2023,Alle Länder,Burundi,männlich,Anzahl,W291,
2023,Alle Länder,Antigua und Barbuda,männlich,Anzahl,W320,
2023,Alle Länder,Barbados,männlich,Anzahl,W322,
2023,Alle Länder,Bahamas,männlich,Anzahl,W324,
2023,Alle Länder,Guyana,männlich,Anzahl,W328,
2023,Alle Länder,Belize,männlich,Anzahl,W330,
2023,Alle Länder,Dominica,männlich,Anzahl,W333,
2023,Alle Länder,Costa Rica,männlich,Anzahl,W334,
2023,Alle Länder,Ecuador,männlich,Anzahl,W336,
2023,Alle Länder,El Salvador,männlich,Anzahl,W337,
2023,Alle Länder,Grenada,männlich,Anzahl,W340,
2023,Alle Länder,Guatemala,männlich,Anzahl,W345,
2023,Alle Länder,Haiti,männlich,Anzahl,W346,
2023,Alle Länder,Honduras,männlich,Anzahl,W347,
2023,Alle Länder,Nicaragua,männlich,Anzahl,W354,
2023,Alle Länder,Jamaika,männlich,Anzahl,W355,
2023,Alle Länder,Panama,männlich,Anzahl,W357,
2023,Alle Länder,Paraguay,männlich,Anzahl,W359,
2023,Alle Länder,Suriname,männlich,Anzahl,W364,
2023,Alle Länder,Uruguay,männlich,Anzahl,W365,
2023,Alle Länder,St. Lucia,männlich,Anzahl,W366,
2023,Alle Länder,St. Vincent und die Grenadinen,männlich,Anzahl,W369,
2023,Alle Länder,St. Kitts und Nevis,männlich,Anzahl,W370,
2023,Alle Länder,Trinidad und Tobago,männlich,Anzahl,W371,
2023,Alle Länder,Hongkong,männlich,Anzahl,W411,
2023,Alle Länder,Jemen,männlich,Anzahl,W421,
2023,Alle Länder,Bahrain,männlich,Anzahl,W424,
2023,Alle Länder,Bhutan,männlich,Anzahl,W426,
2023,Alle Länder,Myanmar,männlich,Anzahl,W427,
2023,Alle Länder,Brunei Darussalam,männlich,Anzahl,W429,
2023,Alle Länder,"Korea, Demokratische Volksrepublik",männlich,Anzahl,W434,
2023,Alle Länder,"Jemen, Demokratische Volksrepublik",männlich,Anzahl,W443,
2023,Alle Länder,Kambodscha,männlich,Anzahl,W446,
2023,Alle Länder,Katar,männlich,Anzahl,W447,
2023,Alle Länder,Kuwait,männlich,Anzahl,W448,
