Year,Gebietseinheit,GeoCode,Value
Veränderung aktuelles Jahr (2024) zu 2010,Schaumburg,K03257,464
Veränderung aktuelles Jahr (2024) zu 2010,Statistische Region Hannover,K032,4252
Veränderung aktuelles Jahr (2024) zu 2010,Celle,K03351,246
Veränderung aktuelles Jahr (2024) zu 2010,Cuxhaven,K03352,244
Veränderung aktuelles Jahr (2024) zu 2010,Harburg,K03353,674
Veränderung aktuelles Jahr (2024) zu 2010,Lüchow-Dannenberg,K03354,79
Veränderung aktuelles Jahr (2024) zu 2010,Lüneburg,K03355,342
Veränderung aktuelles Jahr (2024) zu 2010,Osterholz,K03356,218
Veränderung aktuelles Jahr (2024) zu 2010,Rotenburg (Wümme),K03357,276
Veränderung aktuelles Jahr (2024) zu 2010,Heidekreis,K03358,399
Veränderung aktuelles Jahr (2024) zu 2010,Stade,K03359,564
Veränderung aktuelles Jahr (2024) zu 2010,Uelzen,K03360,186
Veränderung aktuelles Jahr (2024) zu 2010,Verden,K03361,52
Veränderung aktuelles Jahr (2024) zu 2010,Statistische Region Lüneburg,K033,3280
Veränderung aktuelles Jahr (2024) zu 2010,"Delmenhorst, Stadt",K03401,109
Veränderung aktuelles Jahr (2024) zu 2010,"Emden, Stadt",K03402,154
Veränderung aktuelles Jahr (2024) zu 2010,"Oldenburg (Oldb), Stadt",K03403,833
Veränderung aktuelles Jahr (2024) zu 2010,"Osnabrück, Stadt",K03404,637
Veränderung aktuelles Jahr (2024) zu 2010,"Wilhelmshaven, Stadt",K03405,75
Veränderung aktuelles Jahr (2024) zu 2010,Ammerland,K03451,271
Veränderung aktuelles Jahr (2024) zu 2010,Aurich,K03452,501
Veränderung aktuelles Jahr (2024) zu 2010,Cloppenburg,K03453,187
Veränderung aktuelles Jahr (2024) zu 2010,Emsland,K03454,512
Veränderung aktuelles Jahr (2024) zu 2010,Friesland,K03455,60
Veränderung aktuelles Jahr (2024) zu 2010,Grafschaft Bentheim,K03456,561
Veränderung aktuelles Jahr (2024) zu 2010,Leer,K03457,-25
Veränderung aktuelles Jahr (2024) zu 2010,Oldenburg,K03458,220
Veränderung aktuelles Jahr (2024) zu 2010,Osnabrück,K03459,142
Veränderung aktuelles Jahr (2024) zu 2010,Vechta,K03460,777
Veränderung aktuelles Jahr (2024) zu 2010,Wesermarsch,K03461,59
Veränderung aktuelles Jahr (2024) zu 2010,Wittmund,K03462,37
Veränderung aktuelles Jahr (2024) zu 2010,Statistische Region Weser-Ems,K034,5110
Veränderung aktuelles Jahr (2024) zu 2010,Niedersachsen,,16018
Veränderung aktuelles Jahr (2024) zum Vorjahr,"Braunschweig, Stadt",K03101,329
Veränderung aktuelles Jahr (2024) zum Vorjahr,"Salzgitter, Stadt",K03102,-53
Veränderung aktuelles Jahr (2024) zum Vorjahr,"Wolfsburg, Stadt",K03103,-108
Veränderung aktuelles Jahr (2024) zum Vorjahr,Gifhorn,K03151,54
Veränderung aktuelles Jahr (2024) zum Vorjahr,Goslar,K03153,216
Veränderung aktuelles Jahr (2024) zum Vorjahr,Helmstedt,K03154,-21
Veränderung aktuelles Jahr (2024) zum Vorjahr,Northeim,K03155,140
Veränderung aktuelles Jahr (2024) zum Vorjahr,Peine,K03157,-58
Veränderung aktuelles Jahr (2024) zum Vorjahr,Wolfenbüttel,K03158,85
Veränderung aktuelles Jahr (2024) zum Vorjahr,Göttingen,K03159,71
Veränderung aktuelles Jahr (2024) zum Vorjahr,Statistische Region Braunschweig,K031,655
Veränderung aktuelles Jahr (2024) zum Vorjahr,Region Hannover,K03241,1727
Veränderung aktuelles Jahr (2024) zum Vorjahr,"dav. Hannover, Lhst.",K03241999,568
Veränderung aktuelles Jahr (2024) zum Vorjahr,"dav. Hannover, Umland",K03241999,1159
Veränderung aktuelles Jahr (2024) zum Vorjahr,Diepholz,K03251,27
Veränderung aktuelles Jahr (2024) zum Vorjahr,Hameln-Pyrmont,K03252,112
Veränderung aktuelles Jahr (2024) zum Vorjahr,Hildesheim,K03254,229
Veränderung aktuelles Jahr (2024) zum Vorjahr,Holzminden,K03255,54
Veränderung aktuelles Jahr (2024) zum Vorjahr,Nienburg (Weser),K03256,175
Veränderung aktuelles Jahr (2024) zum Vorjahr,Schaumburg,K03257,287
Veränderung aktuelles Jahr (2024) zum Vorjahr,Statistische Region Hannover,K032,2611
Veränderung aktuelles Jahr (2024) zum Vorjahr,Celle,K03351,163
Veränderung aktuelles Jahr (2024) zum Vorjahr,Cuxhaven,K03352,-43
Veränderung aktuelles Jahr (2024) zum Vorjahr,Harburg,K03353,105
Veränderung aktuelles Jahr (2024) zum Vorjahr,Lüchow-Dannenberg,K03354,36
Veränderung aktuelles Jahr (2024) zum Vorjahr,Lüneburg,K03355,-23
Veränderung aktuelles Jahr (2024) zum Vorjahr,Osterholz,K03356,111
Veränderung aktuelles Jahr (2024) zum Vorjahr,Rotenburg (Wümme),K03357,159
Veränderung aktuelles Jahr (2024) zum Vorjahr,Heidekreis,K03358,81
Veränderung aktuelles Jahr (2024) zum Vorjahr,Stade,K03359,348
Veränderung aktuelles Jahr (2024) zum Vorjahr,Uelzen,K03360,-83
Veränderung aktuelles Jahr (2024) zum Vorjahr,Verden,K03361,-9
Veränderung aktuelles Jahr (2024) zum Vorjahr,Statistische Region Lüneburg,K033,845
Veränderung aktuelles Jahr (2024) zum Vorjahr,"Delmenhorst, Stadt",K03401,31
Veränderung aktuelles Jahr (2024) zum Vorjahr,"Emden, Stadt",K03402,4
Veränderung aktuelles Jahr (2024) zum Vorjahr,"Oldenburg (Oldb), Stadt",K03403,435
Veränderung aktuelles Jahr (2024) zum Vorjahr,"Osnabrück, Stadt",K03404,278
Veränderung aktuelles Jahr (2024) zum Vorjahr,"Wilhelmshaven, Stadt",K03405,58
Veränderung aktuelles Jahr (2024) zum Vorjahr,Ammerland,K03451,259
Veränderung aktuelles Jahr (2024) zum Vorjahr,Aurich,K03452,277
Veränderung aktuelles Jahr (2024) zum Vorjahr,Cloppenburg,K03453,198
Veränderung aktuelles Jahr (2024) zum Vorjahr,Emsland,K03454,110
Veränderung aktuelles Jahr (2024) zum Vorjahr,Friesland,K03455,43
Veränderung aktuelles Jahr (2024) zum Vorjahr,Grafschaft Bentheim,K03456,255
Veränderung aktuelles Jahr (2024) zum Vorjahr,Leer,K03457,-3
Veränderung aktuelles Jahr (2024) zum Vorjahr,Oldenburg,K03458,83
Veränderung aktuelles Jahr (2024) zum Vorjahr,Osnabrück,K03459,-134
Veränderung aktuelles Jahr (2024) zum Vorjahr,Vechta,K03460,400
Veränderung aktuelles Jahr (2024) zum Vorjahr,Wesermarsch,K03461,61
Veränderung aktuelles Jahr (2024) zum Vorjahr,Wittmund,K03462,47
Veränderung aktuelles Jahr (2024) zum Vorjahr,Statistische Region Weser-Ems,K034,2402
Veränderung aktuelles Jahr (2024) zum Vorjahr,Niedersachsen,,6513
