Year,Gebietseinheit,Nationalität,GeoCode,Value
2006,Oldenburg,Ausländerinnen und Ausländer,K03458,15
2006,Osnabrück,Ausländerinnen und Ausländer,K03459,59
2006,Vechta,Ausländerinnen und Ausländer,K03460,92
2006,Wesermarsch,Ausländerinnen und Ausländer,K03461,16
2006,Wittmund,Ausländerinnen und Ausländer,K03462,14
2006,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,K034,708
2006,Niedersachsen,Ausländerinnen und Ausländer,K030,2274
2007,Braunschweig  Stadt,Ausländerinnen und Ausländer,K03101,82
2007,Salzgitter  Stadt,Ausländerinnen und Ausländer,K03102,32
2007,Wolfsburg  Stadt,Ausländerinnen und Ausländer,K03103,43
2007,Gifhorn,Ausländerinnen und Ausländer,K03151,11
2007,Goslar,Ausländerinnen und Ausländer,K03153,28
2007,Helmstedt,Ausländerinnen und Ausländer,K03154,15
2007,Northeim,Ausländerinnen und Ausländer,K03155,49
2007,Peine,Ausländerinnen und Ausländer,K03157,27
2007,Wolfenbüttel,Ausländerinnen und Ausländer,K03158,26
2007,Göttingen,Ausländerinnen und Ausländer,K03159,113
2007,Statistische Region Braunschweig,Ausländerinnen und Ausländer,K031,426
2007,Hannover  Region,Ausländerinnen und Ausländer,K03241,421
2007,dav. Hannover  Lhst.,Ausländerinnen und Ausländer,K03241001,262
2007,dav. Hannover  Umland,Ausländerinnen und Ausländer,K03241999,159
2007,Diepholz,Ausländerinnen und Ausländer,K03251,43
2007,Hameln-Pyrmont,Ausländerinnen und Ausländer,K03252,66
2007,Hildesheim,Ausländerinnen und Ausländer,K03254,111
2007,Holzminden,Ausländerinnen und Ausländer,K03255,18
2007,Nienburg (Weser),Ausländerinnen und Ausländer,K03256,29
2007,Schaumburg,Ausländerinnen und Ausländer,K03257,47
2007,Statistische Region Hannover,Ausländerinnen und Ausländer,K032,735
2007,Celle,Ausländerinnen und Ausländer,K03351,35
2007,Cuxhaven,Ausländerinnen und Ausländer,K03352,49
2007,Harburg,Ausländerinnen und Ausländer,K03353,60
2007,Lüchow-Dannenberg,Ausländerinnen und Ausländer,K03354,10
2007,Lüneburg,Ausländerinnen und Ausländer,K03355,33
2007,Osterholz,Ausländerinnen und Ausländer,K03356,29
